SeasonID,TeamID,TeamName,OppPointsPG,HOME,PlayoffRank
2004,1610612757,Trail Blazers,96.9,18-23,13
2004,1610612749,Bucks,100.2,23-18,13
2004,1610612766,Bobcats,100.2,14-27,14
2004,1610612762,Jazz,97.3,18-23,14
2004,1610612740,Hornets,95.5,11-30,15
2004,1610612737,Hawks,102.4,9-32,15
2005,1610612759,Spurs,88.8,34-7,1
2005,1610612765,Pistons,90.2,37-4,1
2005,1610612742,Mavericks,93.1,34-7,2
2005,1610612748,Heat,96.0,31-10,2
2005,1610612739,Cavaliers,95.4,31-10,3
2005,1610612756,Suns,102.8,31-10,3
2005,1610612743,Nuggets,100.1,26-15,4
2005,1610612751,Nets,92.4,29-12,4
2005,1610612763,Grizzlies,88.5,30-11,5
2005,1610612764,Wizards,99.8,27-14,5
2005,1610612746,Clippers,95.6,27-14,6
2005,1610612754,Pacers,92.0,27-14,6
2005,1610612741,Bulls,97.2,21-20,7
2005,1610612747,Lakers,96.9,27-14,7
2005,1610612749,Bucks,98.8,24-16,8
2005,1610612758,Kings,97.3,27-14,8
2005,1610612755,76ers,101.3,23-18,9
2005,1610612762,Jazz,95.0,22-19,9
2005,1610612740,Hornets,95.6,24-17,10
2005,1610612753,Magic,96.0,26-15,10
2005,1610612738,Celtics,99.5,21-20,11
2005,1610612760,SuperSonics,105.6,22-19,11
2005,1610612745,Rockets,91.7,15-26,12
2005,1610612761,Raptors,104.0,15-26,12
2005,1610612744,Warriors,99.8,21-20,13
2005,1610612766,Bobcats,100.9,17-24,13
