TEAM_ID,TEAM_NAME,YEAR,WIN_PCT,FG_PCT,REB,AST_TOV_RAT,PTS,OPP_PPG,HOME_WIN_PCT,PLAYOFF,TOP3_PPG,TOP3_P14,OFF_BENCH_PPG,BENCH_P30
1610612762,Jazz,2000,0.646,0.471,40.6,1.6265822784810124,97.1,92.4,0.6829268292682927,1,16.09254240690555,1,27.134146341463413,0
1610612762,Jazz,2001,0.537,0.45,42.2,1.4787878787878788,96.0,95.1,0.6097560975609756,1,15.506910569105692,1,28.317073170731707,0
1610612762,Jazz,2002,0.573,0.468,41.5,1.5238095238095235,94.7,92.3,0.7073170731707317,1,16.727283159227603,1,23.23170731707317,0
1610612762,Jazz,2003,0.512,0.436,41.2,1.228915662650602,88.7,89.9,0.6829268292682927,0,13.41795928793524,1,29.865853658536587,0
1610612762,Jazz,2004,0.317,0.449,40.1,1.4113924050632911,93.0,97.3,0.43902439024390244,0,13.027328588304199,1,19.5609756097561,0
1610612762,Jazz,2005,0.5,0.442,42.1,1.3757961783439492,92.4,95.0,0.5365853658536586,0,15.23045685447669,1,30.48780487804878,1
1610612762,Jazz,2006,0.622,0.474,42.5,1.5833333333333333,101.5,98.6,0.7560975609756098,1,18.23581081081081,1,32.426829268292686,1
1610612762,Jazz,2007,0.659,0.497,40.9,1.808219178082192,106.2,99.3,0.9024390243902439,1,18.15651661146241,1,31.817073170731707,1
1610612762,Jazz,2008,0.585,0.475,41.0,1.6689189189189189,103.6,100.9,0.8048780487804879,1,16.723704914064392,1,37.81707317073171,1
1610612762,Jazz,2009,0.646,0.491,42.2,1.756578947368421,104.2,98.9,0.7804878048780488,1,17.226552727093463,1,27.597560975609756,0
1610612762,Jazz,2010,0.476,0.465,39.5,1.6363636363636362,99.4,101.3,0.5121951219512195,0,16.252430246974537,1,22.658536585365855,0
1610612762,Jazz,2011,0.545,0.456,44.2,1.535211267605634,99.7,99.0,0.7575757575757576,1,15.868979239112434,1,27.79268292682927,0
1610612762,Jazz,2012,0.524,0.454,42.0,1.5337837837837838,98.0,98.1,0.7317073170731707,0,15.50320512820513,1,35.19512195121951,1
1610612762,Jazz,2013,0.305,0.444,41.2,1.3904109589041096,95.0,102.2,0.3902439024390244,0,14.168943556443557,1,32.46341463414634,1
1610612762,Jazz,2014,0.463,0.447,44.0,1.3006535947712417,95.1,94.9,0.5121951219512195,0,16.031057373162636,1,28.109756097560975,0
1610612762,Jazz,2015,0.488,0.449,43.2,1.2751677852348993,97.7,95.9,0.5853658536585366,0,16.885466857220635,1,39.0,1
1610612762,Jazz,2016,0.622,0.466,43.2,1.4779411764705883,100.7,96.8,0.7073170731707317,1,17.628970411096958,1,42.390243902439025,1
1610612762,Jazz,2017,0.585,0.462,43.3,1.5238095238095235,104.1,99.8,0.6829268292682927,1,15.268781851060332,1,29.0609756097561,0
1610612762,Jazz,2018,0.61,0.468,46.4,1.7218543046357615,111.7,106.5,0.7073170731707317,1,17.242349941536933,1,37.75609756097561,1
